City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
thompson,40,CA,1619332697,73,55.7435,-97.8558,17.6,4.45
trofors,75,NO,1619332698,93,65.5333,13.4063,33.8,14.97
kamaishi,75,JP,1619332699,35,39.2667,141.8833,57.2,12.66
norman wells,1,US,1619332669,82,35.2226,-97.4395,53.01,6.91
mehamn,99,NO,1619332700,66,71.0357,27.8492,32.32,13.09
avera,90,US,1619332610,94,33.194,-82.5271,62.6,14.54
san carlos de bariloche,61,ML,1619332701,44,13.3034,-4.8956,85.77,13.04
ribeira grande,40,ES,1619332702,94,42.7461,-8.4439,53.6,3.44
hithadhoo,59,MV,1619332702,67,-0.6,73.0833,83.55,6.6
alice springs,1,US,1619332703,68,27.7523,-98.0697,68.0,4.61
jamestown,90,US,1619332430,71,42.097,-79.2353,48.99,8.05
geraldton,98,AU,1619332704,37,-28.7667,114.6,86.0,14.97
carnarvon,0,AU,1619332705,57,-24.8667,113.6333,82.4,12.66
montorio al vomano,90,ES,1619332705,100,42.5847,-3.7772,46.4,8.05
whitehorse,20,CA,1619332706,41,60.7161,-135.0538,39.2,6.91
nizhniy odes,0,RU,1619332707,71,45.3926,39.2364,51.01,8.95
dingle,71,PH,1619332707,64,10.9995,122.6711,86.0,4.63
leningradskiy,63,RU,1619332708,86,69.3833,178.4167,26.04,2.01
jizan,20,SA,1619332709,46,17.3333,42.6667,93.2,8.05
lakes entrance,1,US,1619332709,46,61.6071,-149.3086,51.8,4.61
lompoc,96,US,1619332710,93,34.6391,-120.4579,48.2,4.18
mareeba,90,AU,1619332711,94,-17.0,145.4333,77.0,11.5
sao joao da barra,13,IN,1619332711,12,20.5113,76.2129,97.27,5.44
tuktoyaktuk,20,CA,1619332712,93,69.4541,-133.0374,17.6,10.36
grand river south east,1,US,1619332713,22,38.8755,-109.5012,64.0,9.22
registro,64,BR,1619332713,99,-24.4875,-47.8436,62.87,1.12
maceio,40,BR,1619332714,94,-9.6658,-35.7353,73.4,4.61
araouane,54,ML,1619332715,15,18.9048,-3.5265,84.81,8.52
constitucion,0,CL,1619332716,61,-35.3333,-72.4167,55.71,6.4
kenora,1,CA,1619332716,59,49.8167,-94.4337,30.2,6.91
kununurra,14,AU,1619332717,19,-15.7667,128.7333,89.6,11.5
tazovskiy,70,RU,1619332717,84,67.4667,78.7,21.87,4.97
mar del plata,100,ES,1619332718,69,43.4002,-4.0094,64.0,4.0
kitgum,100,UG,1619332719,78,3.2783,32.8867,74.68,3.85
new norfolk,100,LR,1619332719,91,6.6518,-10.5932,73.71,2.21
santa fe do sul,0,PH,1619332720,50,17.486,120.4348,86.68,11.34
barrow,1,US,1619332471,86,71.2906,-156.7887,21.2,11.5
atar,0,MR,1619332720,34,20.5169,-13.0499,71.08,8.5
nemuro,75,JP,1619332721,56,43.3236,145.575,41.0,13.8
mizdah,0,LY,1619332721,64,31.4451,12.9801,56.98,7.29
garowe,18,SO,1619332722,53,8.4054,48.4845,84.88,7.47
boa vista,36,CM,1619332722,73,4.4296,8.9742,80.65,1.36
hofn,100,IS,1619332723,85,64.2539,-15.2082,45.5,3.8
esperance,5,AU,1619332723,23,-33.8667,121.9,84.2,5.75
port elizabeth,100,CD,1619332724,72,-7.0349,29.7638,76.17,0.58
troitskoye,15,RU,1619332724,63,52.9821,84.6757,45.39,3.15
chuy,86,UY,1619332725,83,-33.6971,-53.4616,61.79,10.33
sitka,20,US,1619332726,40,57.0531,-135.33,50.0,5.75
port alberni,100,CD,1619332692,72,-7.0349,29.7638,76.17,0.58
tiksi,100,RU,1619332726,90,71.6872,128.8694,32.85,8.88
mahebourg,75,MU,1619332727,74,-20.4081,57.7,80.6,14.97
lincoln,40,US,1619332610,46,40.8,-96.667,50.0,8.97
rognan,84,NO,1619332728,56,67.0953,15.3878,39.0,1.01
shimoda,75,JP,1619332728,64,34.6667,138.95,70.0,14.97
caravelas,5,BR,1619332729,92,-17.7125,-39.2481,71.35,4.14
nanortalik,100,GL,1619332730,79,60.1432,-45.2371,39.22,12.28
kaitangata,10,NZ,1619332730,68,-46.2817,169.8464,45.0,5.01
grand gaube,1,US,1619332713,22,38.8755,-109.5012,64.0,9.22
avarua,75,CK,1619332731,88,-21.2078,-159.775,75.2,12.66
severo-kurilsk,100,RU,1619332732,87,50.6789,156.125,33.57,9.35
atuona,14,PF,1619332732,76,-9.8,-139.0333,80.37,13.69
novoagansk,100,RU,1619332733,94,61.9449,76.6625,38.7,2.91
hilo,75,US,1619332734,83,19.7297,-155.09,71.6,4.61
zhigansk,100,RU,1619332734,99,66.7697,123.3711,33.93,9.57
mollendo,93,PE,1619332735,86,-17.0231,-72.0147,65.84,9.37
cayenne,90,GF,1619332736,100,4.9333,-52.3333,79.0,9.6
bathsheba,20,BB,1619332736,61,13.2167,-59.5167,78.8,17.27
bluff,99,NZ,1619332737,80,-46.6,168.3333,44.01,10.0
vaini,20,TO,1619332737,89,-21.2,-175.2,78.8,6.6
chapais,75,CA,1619332738,86,49.7834,-74.8492,26.6,5.75
kalisz,0,PL,1619332738,63,51.7611,18.091,41.0,5.01
luderitz,94,NA,1619332739,73,-26.6481,15.1594,64.83,2.71
kruisfontein,68,ZA,1619332739,41,-34.0033,24.7314,71.85,7.31
nome,1,US,1619332614,75,64.5011,-165.4064,37.4,6.91
oranjemund,100,NA,1619332740,70,-28.55,16.4333,64.42,5.48
havre-saint-pierre,1,CA,1619332740,93,50.2334,-63.5986,32.0,6.91
mariental,3,NA,1619332742,21,-24.6333,17.9667,71.29,12.82
kapaa,75,US,1619332494,73,22.0752,-159.319,75.2,20.71
lisieux,0,FR,1619332742,65,49.1667,0.1667,44.01,10.36
tilichiki,100,RU,1619332743,93,60.4667,166.1,29.84,5.5
casas grandes,0,AR,1619332743,80,-32.1257,-61.5402,53.01,1.99
pandan,30,PH,1619332744,70,14.0453,124.1694,81.14,8.97
nauta,88,PE,1619332745,96,-4.5061,-73.5757,72.79,0.89
cockburn town,0,AU,1619332746,35,-32.0833,141.0,69.8,9.22
itigi,96,TZ,1619332746,71,-5.7,34.4833,72.39,9.17
ballina,0,AU,1619332747,64,-28.8667,153.5667,71.6,6.91
nouadhibou,40,MR,1619332748,94,20.931,-17.0347,62.6,13.8
kamenka,7,RU,1619332749,63,51.3223,42.7678,44.01,17.72
faanui,69,PF,1619332750,67,-16.4833,-151.75,80.29,2.64
concepcion del uruguay,0,CL,1619332750,100,-36.827,-73.0498,48.2,4.61
dikson,23,RU,1619332750,83,73.5069,80.5464,16.92,11.9
codrington,11,AU,1619332751,67,-38.2667,141.9667,58.51,10.71
longyearbyen,75,SJ,1619332752,80,78.2186,15.6401,23.0,3.44
ulan-ude,90,RU,1619332752,87,51.8261,107.6098,39.2,13.42
ilulissat,0,GL,1619332753,45,69.2167,-51.1,44.6,28.77
copacabana,90,CO,1619332754,94,6.3463,-75.5089,60.8,3.44
nagua,64,DO,1619332755,84,19.3832,-69.8474,73.99,1.01
fairbanks,1,US,1619332756,49,64.8378,-147.7164,51.8,3.38
georgetown,40,MY,1619332756,74,5.4112,100.3354,87.8,8.05
zhanaozen,10,KZ,1619332757,14,43.3,52.8,76.1,19.13
olafsvik,100,IS,1619332758,96,64.8945,-23.7142,41.76,9.71
vostok,71,RU,1619332759,32,46.4856,135.8833,38.98,13.65
chernushka,100,RU,1619332759,90,56.5072,56.0766,44.08,14.34
quartucciu,0,IT,1619332760,87,39.2519,9.1794,60.01,1.14
butaritari,100,KI,1619332760,75,3.0707,172.7902,82.76,7.76
upernavik,8,GL,1619332760,77,72.7868,-56.1549,21.92,7.94
lebu,1,CL,1619332761,88,-37.6167,-73.65,52.74,12.33
san patricio,61,ML,1619332761,44,13.3034,-4.8956,85.77,13.04
pitsunda,75,GE,1619332762,94,43.1592,40.3378,53.6,6.71
tuatapere,70,NZ,1619332762,80,-46.1333,167.6833,44.01,10.0
skjervoy,13,NO,1619332762,60,70.0311,20.9714,31.77,1.21
luwuk,67,ID,1619332763,70,-0.9516,122.7875,84.87,5.41
clyde river,97,US,1619332763,90,41.3042,-82.9752,46.99,5.88
santa rosa,0,PH,1619332764,50,17.486,120.4348,86.68,11.34
edson,1,CA,1619332646,47,53.5835,-116.4356,30.2,4.61
yellowknife,20,CA,1619332622,61,62.456,-114.3525,5.0,6.91
burnie,100,AU,1619332765,68,-41.0667,145.9167,57.0,10.0
kita,53,ML,1619332765,34,13.0349,-9.4895,86.99,9.73
linxi,100,CN,1619332765,16,39.7,118.4333,68.72,6.4
vila velha,94,PT,1619332766,89,42.0304,-8.1588,55.0,3.4
sao filipe,13,IN,1619332766,12,20.5113,76.2129,97.27,5.44
kuppam,34,IN,1619332767,40,12.75,78.3667,89.49,4.81
puerto ayora,40,ES,1619332684,77,36.5939,-6.233,62.6,16.11
eureka,100,US,1619332495,89,40.8021,-124.1637,48.99,11.23
cidreira,100,BR,1619332768,93,-30.1811,-50.2056,66.85,10.47
hobara,94,JP,1619332769,56,37.8167,140.55,57.0,1.99
saint-augustin,100,CA,1619332770,82,51.226,-58.6502,33.66,6.89
okhotsk,68,RU,1619332770,53,59.3833,143.3,31.1,0.76
ancud,90,CL,1619332771,100,-41.8697,-73.8203,53.01,2.3
kavaratti,5,IN,1619332771,67,10.5669,72.642,84.76,6.51
macenta,100,GN,1619332772,97,8.5435,-9.471,67.39,1.68
fortuna,90,US,1619332772,76,40.5982,-124.1573,51.01,10.36
east london,0,IS,1619332772,100,65.0,-15.0,30.2,6.29
lorengau,100,PG,1619332773,73,-2.0226,147.2712,83.23,1.43
somerset,90,US,1619332773,76,40.5668,-74.5496,53.01,4.52
miri,40,MY,1619332694,66,4.4148,114.0089,87.8,2.3
rodrigues alves,72,MU,1619332774,75,-19.7,63.4167,77.79,15.99
lasa,0,IT,1619332775,81,46.6166,10.7002,46.4,6.91
nakanojo,47,JP,1619332775,30,36.5833,138.85,62.01,5.99
santa rita,0,PH,1619332776,50,17.486,120.4348,86.68,11.34
tautira,75,PF,1619332776,83,-17.7333,-149.15,75.2,4.61
athens,75,GR,1619332072,72,37.9795,23.7162,60.01,11.5
lagoa,12,PT,1619332777,75,39.05,-27.9833,58.93,20.33
omidiyeh,0,IR,1619332778,27,30.7597,49.705,87.8,11.5
mezen,63,RU,1619332778,47,65.8522,44.24,54.27,9.19
sorland,99,NO,1619332779,55,67.667,12.6934,36.57,15.73
sola,100,VU,1619332779,74,-13.8833,167.55,83.19,14.74
hambantota,75,LK,1619332780,66,6.1241,81.1185,91.4,2.3
nizhneangarsk,100,RU,1619332780,89,55.7833,109.55,35.96,2.64
mitu,100,CO,1619332780,96,1.1983,-70.1733,72.27,1.1
luoyang,100,CN,1619332781,76,34.6836,112.4536,56.82,9.04
quelimane,4,MZ,1619332781,69,-17.8786,36.8883,79.84,3.44
prikubanskiy,100,RU,1619332782,69,45.0015,41.1795,48.74,6.2
naze,20,JP,1619332782,57,28.3667,129.4833,75.2,17.27
kenai,1,US,1619332783,80,60.5544,-151.2583,42.8,5.75
maniitsoq,92,GL,1619332783,76,65.4167,-52.9,34.7,10.29
bajo baudo,26,ID,1619332784,77,-3.3788,120.3102,84.81,5.03
harrisburg,100,US,1619332541,91,40.2737,-76.8844,48.99,1.01
bowen,90,AU,1619332518,78,-20.0167,148.2333,75.2,19.57
palmares do sul,27,BR,1619332785,94,-8.6833,-35.5917,70.77,2.15
shingu,75,JP,1619332753,43,33.7333,135.9833,69.8,17.27
porto novo,40,PT,1619332588,94,41.1496,-8.611,59.0,2.3
kahului,40,US,1619332607,78,20.8947,-156.47,73.4,14.97
erenhot,100,CN,1619332786,41,43.6475,111.9767,63.57,28.95
khabary,81,RU,1619332786,30,53.6259,79.5345,51.6,8.77
peniche,99,PT,1619332787,88,39.3558,-9.3811,57.99,11.99
awjilah,0,LY,1619332787,55,29.1081,21.2869,66.18,19.64
san pedro,61,ML,1619332756,44,13.3034,-4.8956,85.77,13.04
zavyalovo,0,RU,1619332788,22,54.5053,82.4484,55.4,6.71
ukiah,40,US,1619332788,58,39.1502,-123.2078,51.8,4.61
palana,100,RU,1619332788,99,59.1167,159.9667,30.43,3.76
pasco,6,US,1619332789,90,28.292,-82.4165,75.99,1.01
yining,100,CN,1619332789,92,29.0361,114.5636,61.63,3.33
bilma,5,NE,1619332790,12,18.6853,12.9164,89.62,6.35
saint-joseph,0,RE,1619332790,65,-21.3667,55.6167,82.99,28.77
torbay,20,CA,1619332531,93,47.6666,-52.7314,36.0,13.8
muzaffarabad,5,PK,1619332612,26,34.37,73.4711,81.88,3.56
salinas,75,US,1619332501,71,36.6777,-121.6555,55.4,8.05
myitkyina,99,MM,1619332791,9,25.3833,97.4,108.34,3.65
karpathos,84,GR,1619332792,82,35.507,27.2132,66.2,23.02
port lincoln,100,CD,1619332792,72,-7.0349,29.7638,76.17,0.58
pocatello,1,US,1619332792,66,42.8713,-112.4455,46.4,9.22
gobabis,0,NA,1619332793,26,-22.45,18.9667,67.48,10.76
rawson,7,AR,1619332573,66,-43.3002,-65.1023,54.01,10.85
isangel,100,VU,1619332793,78,-19.55,169.2667,77.72,10.65
ermelo,0,ZA,1619332794,71,-26.5333,29.9833,55.4,5.75
xining,100,CN,1619332747,25,36.6167,101.7667,56.79,10.63
ati,4,TD,1619332794,22,13.2154,18.3353,90.59,10.07
simao,100,CN,1619332677,16,22.7886,100.9748,96.01,8.86
necochea,100,AR,1619332764,86,-38.5473,-58.7368,57.99,1.99
panaba,91,MX,1619332795,90,21.2833,-88.2667,73.92,9.33
santiago de cao,0,CL,1619332727,81,-33.4569,-70.6483,62.01,2.3
otane,47,NZ,1619332796,48,-39.8833,176.6333,61.0,1.99
ayagoz,100,KZ,1619332796,26,47.9714,80.4392,48.92,11.3
sambava,100,MG,1619332797,93,-14.2667,50.1667,75.24,6.53
pustoshka,100,RU,1619332797,75,56.3355,29.369,34.81,10.67
darnah,11,LY,1619332798,80,32.767,22.6367,63.12,21.05
namibe,14,AO,1619332798,79,-15.1961,12.1522,78.48,3.56
morondava,89,MG,1619332798,62,-20.2833,44.2833,81.19,4.43
liwale,100,TZ,1619332799,96,-9.7667,37.9333,71.55,6.64
alofi,90,NU,1619332799,94,-19.0595,-169.9187,77.0,1.14
sur,0,OM,1619332800,32,22.5667,59.5289,93.61,2.01
vienenburg,6,DE,1619332800,76,51.95,10.5667,39.0,3.0
san cristobal,61,ML,1619332721,44,13.3034,-4.8956,85.77,13.04
cherskiy,33,RU,1619332801,83,68.75,161.3,18.12,8.86
vanavara,100,RU,1619332801,98,60.34,102.2797,36.84,5.64
ornskoldsvik,75,SE,1619332802,86,63.2909,18.7153,30.2,13.8
mmabatho,0,ZA,1619332802,22,-25.85,25.6333,68.02,1.48
san policarpo,61,ML,1619332701,44,13.3034,-4.8956,85.77,13.04
komsomolskiy,13,UZ,1619332803,25,40.4272,71.7189,73.4,6.91
penzance,44,GB,1619332559,81,50.1186,-5.5371,46.99,25.97
adre,17,TD,1619332804,13,13.4667,22.2,89.67,15.68
hermanus,100,ZA,1619332804,82,-34.4187,19.2345,62.01,5.01
bartica,75,GY,1619332805,100,6.4,-58.6167,75.2,4.61
huarmey,9,PE,1619332805,87,-10.0681,-78.1522,66.96,7.43
tinde,99,TZ,1619332806,73,-3.8833,33.2,71.98,6.53
victoria,100,HK,1619332761,82,22.2855,114.1577,78.01,5.99
moerai,100,PF,1619332806,69,-22.4333,-151.3333,75.99,11.88
saskylakh,100,RU,1619332807,90,71.9167,114.0833,33.33,10.94
yaring,20,TH,1619332807,62,6.8662,101.3689,87.8,10.36
moorhead,1,US,1619332808,35,46.8739,-96.7676,35.6,8.05
port blair,100,CD,1619332792,72,-7.0349,29.7638,76.17,0.58
van buren,40,TR,1619332808,44,38.4924,43.3831,59.0,5.75
hobyo,9,SO,1619332809,57,5.3505,48.5268,87.08,9.69
kletnya,75,RU,1619332809,87,53.3897,33.2171,35.6,8.95
aklavik,11,CA,1619332810,86,68.2191,-135.0107,26.6,8.05
shache,0,CN,1619332810,8,38.4167,77.2406,76.78,5.48
tambovka,20,RU,1619332811,24,50.0969,128.0489,53.6,11.18
chara,100,RU,1619332811,89,56.9064,118.2631,36.21,1.39
yar-sale,100,RU,1619332812,93,66.8333,70.8333,31.69,8.75
thinadhoo,46,MV,1619332812,65,0.5333,72.9333,83.14,6.17
faya,40,SA,1619332813,40,18.3851,42.4509,71.6,4.72
qaqortoq,90,GL,1619332813,32,60.7167,-46.0333,51.8,33.38
fort nelson,18,NL,1619332814,71,52.6517,6.3861,43.0,5.99
lobito,94,AO,1619332815,78,-12.3481,13.5456,80.85,3.49
pafos,0,CY,1619332815,33,34.7667,32.4167,79.0,8.05
andenes,90,NO,1619332816,75,69.3143,16.1194,35.6,5.48
boli,0,CN,1619332817,18,45.7667,130.5167,52.02,10.63
rudbar,56,AF,1619332817,10,30.15,62.6,88.41,10.74
deputatskiy,100,RU,1619332818,84,69.3,139.9,23.09,13.11
altay,31,CN,1619332818,33,47.8667,88.1167,38.91,3.62
asfi,7,MA,1619332819,75,32.2994,-9.2372,62.24,14.12
artyom,0,AZ,1619332819,52,40.4723,50.333,64.4,4.61
wagar,3,SD,1619332819,27,16.1525,36.2032,93.85,2.91
aykhal,100,RU,1619332820,94,66.0,111.5,33.01,12.17
rio gallegos,20,GR,1619332820,63,38.3,21.7833,63.0,16.11
kuna,90,US,1619332673,100,43.4918,-116.4201,51.01,4.61
oktyabrskiy,21,RU,1619332821,51,54.4815,53.471,48.38,21.05
iqaluit,90,CA,1619332821,93,63.7506,-68.5145,32.0,6.4
safranbolu,75,TR,1619332822,100,41.2508,32.6942,50.0,0.87
nathdwara,40,IN,1619332822,18,24.9333,73.8167,93.2,3.44
anadyr,40,RU,1619332823,93,64.75,177.4833,30.2,13.42
mount isa,86,GB,1619332824,90,53.6597,-1.8537,41.0,1.99
klaksvik,93,FO,1619332824,87,62.2266,-6.589,42.8,4.83
santiago,0,CL,1619332825,81,-33.4569,-70.6483,62.01,2.3
bilibino,100,RU,1619332825,92,68.0546,166.4372,24.53,4.5
cabo san lucas,40,BR,1619332826,83,-8.2833,-35.0333,75.2,3.31
wawa,67,NG,1619332826,72,9.9022,4.4192,80.6,7.25
requena,100,ES,1619332827,84,39.4883,-1.1004,54.0,9.82
berea,90,US,1619332790,81,41.3662,-81.8543,48.2,5.75
samarai,74,PG,1619332828,74,-10.6167,150.6667,84.29,14.9
ust-maya,100,RU,1619332828,74,60.4167,134.5333,34.23,1.63
trinidad,100,BO,1619332617,97,-14.8333,-64.9,70.45,8.86
nuuk,90,GL,1619332829,75,64.1835,-51.7216,37.4,13.8
kyabe,94,TD,1619332829,61,9.4515,18.9449,81.77,9.13
meru,29,KE,1619332830,69,0.0463,37.6559,70.72,6.93
burgeo,4,CA,1619332830,82,47.6167,-57.6152,35.42,8.01
ahipara,99,NZ,1619332831,68,-35.1667,173.1667,58.42,6.89
kimbe,100,PG,1619332831,85,-5.5502,150.1429,81.32,2.59
kloulklubed,75,PW,1619332831,70,7.0419,134.2556,87.8,18.41
kieta,81,PG,1619332832,79,-6.2167,155.6333,81.01,2.82
espanola,1,US,1619332598,19,35.9911,-106.0806,57.2,10.36
pevek,100,RU,1619332833,96,69.7008,170.3133,27.28,5.28
lodja,98,CD,1619332834,75,-3.4833,23.4333,76.82,2.01
hidrolandia,100,BR,1619332834,98,-4.4081,-40.4378,69.75,1.63
valparaiso,0,CL,1619332835,78,-33.0393,-71.6273,55.0,6.46
odweyne,42,SO,1619332835,53,9.4092,45.064,79.54,12.24
balabac,6,PH,1619332836,69,7.9868,117.0645,85.42,10.11
del rio,0,IR,1619332837,40,38.7941,45.0665,71.6,6.91
margherita,9,IN,1619332837,40,27.2833,95.6833,89.6,4.61
karasburg,100,NA,1619332838,15,-28.0167,18.75,78.1,17.96
mehriz,79,IR,1619332838,27,31.5917,54.4318,78.8,2.3
yarmouth,1,US,1619332839,66,41.7057,-70.2286,51.8,6.91
khatanga,100,RU,1619332840,92,71.9667,102.5,21.67,13.67
merauke,100,ID,1619332840,75,-8.4667,140.3333,82.92,10.04
aripuana,82,BR,1619332841,98,-9.1667,-60.6333,71.56,1.43
cairns,90,AU,1619332578,94,-16.9167,145.7667,77.0,11.5
cururupu,61,BR,1619332841,97,-1.8283,-44.8683,74.3,2.44
hamilton,90,US,1619332824,100,39.1834,-84.5333,48.99,3.44
noumea,90,NC,1619332842,83,-22.2763,166.4572,77.0,2.3
ossora,100,RU,1619332842,99,59.2353,163.0719,32.2,4.47
ostrovnoy,100,RU,1619332843,99,68.0531,39.5131,35.76,8.12
barabai,75,ID,1619332843,46,-2.5833,115.3833,93.65,1.16
chokurdakh,22,RU,1619332844,85,70.6333,147.9167,13.21,8.66
bubaque,64,GW,1619332844,56,11.2833,-15.8333,77.9,14.09
khandagayty,100,RU,1619332844,32,50.7333,92.05,36.57,15.03
mokrousovo,100,RU,1619332845,32,55.8103,66.7653,55.38,13.96
graaff-reinet,0,ZA,1619332846,23,-32.2522,24.5308,75.04,6.6
airai,88,TL,1619332846,61,-8.9266,125.4092,68.79,3.44
sechura,100,PE,1619332847,77,-5.5569,-80.8222,68.83,11.27
mackay,90,AU,1619332847,78,-21.15,149.2,75.2,14.97
apozol,100,MX,1619332847,20,21.4833,-103.1,71.58,3.09
westport,90,US,1619332717,76,41.1415,-73.3579,52.0,6.91
yarkovo,100,RU,1619332848,30,57.4028,67.0786,54.64,12.21
laguna,75,US,1619332848,67,38.421,-121.4238,55.4,8.05
yahualica,100,MX,1619332849,18,21.1333,-102.85,66.83,2.66
meridian,90,US,1619332639,100,43.6121,-116.3915,51.01,4.61
malacky,99,SK,1619332850,66,48.436,17.0219,48.0,7.58
paita,100,PE,1619332850,78,-5.0892,-81.1144,69.35,11.23
bambous virieux,75,MU,1619332850,74,-20.2567,57.4061,82.0,14.97
zheleznodorozhnyy,75,RU,1619332851,65,55.7503,38.0042,41.0,13.42
lufilufi,20,WS,1619332851,94,-13.8745,-171.5986,77.0,5.84
pisco,0,PE,1619332852,94,-13.7,-76.2167,64.99,3.44
narsaq,90,GL,1619332852,32,60.9167,-46.05,51.8,33.38
comodoro rivadavia,100,BR,1619332853,98,-13.6631,-59.7858,67.12,2.33
prince rupert,1,CA,1619332853,45,52.9669,-108.3847,21.2,3.44
borogontsy,100,RU,1619332854,93,62.6683,131.1683,32.2,2.8
qarqin,37,AF,1619332854,10,37.4185,66.0436,87.39,6.6
zaraza,22,VE,1619332854,69,9.3503,-65.3245,78.04,5.84
podor,0,MR,1619332855,68,16.6527,-14.9587,69.8,4.61
chicama,95,PE,1619332855,86,-7.8447,-79.1469,66.54,4.32
sargatskoye,100,RU,1619332856,32,55.6101,73.4972,53.01,16.31
bharatpur,0,IN,1619332856,8,27.2167,77.4833,98.22,9.57
plouzane,0,FR,1619332857,87,48.3833,-4.6167,48.2,12.66
hay river,33,GB,1619332857,65,52.0705,-3.1274,41.0,7.63
ilinskiy,75,RU,1619332857,65,55.619,38.1182,41.0,13.42
harper,100,LR,1619332858,86,4.375,-7.7169,78.64,6.49
gualaquiza,87,EC,1619332858,98,-3.4,-78.55,61.99,0.94
karratha,0,AU,1619332687,27,-20.7377,116.8463,88.48,17.13
jangaon,0,IN,1619332562,24,17.7167,79.1833,98.98,7.34
lavrentiya,60,RU,1619332859,90,65.5833,-171.0,25.23,4.09
tabuk,36,PH,1619332860,44,17.4189,121.4443,87.93,10.18
bethel,100,US,1619332860,73,41.3712,-73.414,52.0,2.1
coihaique,100,CL,1619332861,95,-45.5752,-72.0662,44.2,5.32
kilindoni,100,TZ,1619332861,82,-7.9139,39.6668,79.57,7.52
mount gambier,86,GB,1619332862,90,53.6597,-1.8537,41.0,1.99
muros,100,ES,1619332862,95,42.7762,-9.0603,55.99,3.0
gloucester,5,GB,1619332737,90,51.8657,-2.2431,39.99,9.64
anta,100,IN,1619332863,7,25.15,76.3,97.93,7.14
coria,100,ES,1619332701,85,39.9879,-6.5377,53.8,10.6
agar,94,IN,1619332864,6,23.7,76.0167,96.96,7.94
jiwani,0,PK,1619332864,70,25.05,61.7417,83.26,10.58
jibuti,40,DJ,1619332865,70,11.5,42.5,87.8,16.53
nianzishan,80,CN,1619332865,19,47.5167,122.8833,61.68,0.22
mering,72,DE,1619332865,70,48.2656,10.9846,43.0,6.91
half moon bay,100,LR,1619332866,87,6.3807,-10.6953,75.16,3.15
